,label,lentitle,wctitle,punctitle,digittitle,capitaltitle,startitle,uppertitle3,uppertitle4,r_e,r_h,r_m,f_e,f_h,f_m
1752,0,50,9,0,50,45,0,0,0,1,1,0,3,0,2
1753,1,60,9,0,60,52,0,0,0,1,0,2,1,0,1
1754,0,81,12,1,81,68,0,1,1,3,0,1,2,1,2
1755,1,79,14,2,79,76,0,0,0,3,0,3,1,2,2
1756,0,71,13,6,71,56,0,0,0,2,1,2,1,1,4
1757,1,47,8,3,47,42,0,0,0,0,1,2,0,0,1
1758,0,70,11,2,70,59,0,0,0,2,0,1,2,1,1
1759,0,69,13,0,69,57,0,0,0,0,0,2,2,1,5
1760,1,91,13,3,91,84,0,0,0,2,1,5,1,1,1
1761,0,105,19,8,105,98,0,0,0,0,0,1,5,2,7
1762,0,90,15,2,90,69,0,1,1,1,0,0,4,2,5
1763,1,75,13,1,75,72,0,0,0,3,1,4,2,0,0
1764,1,55,9,4,55,53,0,0,0,2,0,1,2,1,1
1765,0,74,12,3,73,63,0,0,0,0,0,0,2,1,7
1766,0,93,14,1,93,13,0,1,1,2,1,1,2,0,4
1767,0,61,12,0,61,59,0,0,0,1,2,2,3,1,2
1768,0,59,8,3,59,9,0,1,1,0,0,1,0,0,2
1769,0,83,12,3,83,13,0,1,1,1,0,0,3,0,3
1770,0,59,11,3,58,50,0,0,0,1,0,3,3,0,2
1771,0,106,20,7,106,94,0,0,0,1,0,4,5,0,6
1772,0,70,13,2,58,61,0,1,0,0,1,1,4,1,2
1773,1,36,6,1,36,33,0,0,0,0,0,2,1,0,0
1774,1,57,9,3,57,55,0,0,0,1,0,3,2,0,1
1775,1,38,9,1,34,33,0,1,0,2,3,1,1,0,1
1776,0,91,18,5,91,87,1,0,0,0,1,0,6,3,3
1777,0,90,16,2,90,76,0,0,0,0,1,1,3,1,7
1778,1,64,11,4,64,60,0,0,0,2,0,1,2,1,1
1779,1,83,15,1,80,79,0,0,0,2,1,5,1,0,1
1780,1,50,8,0,50,48,0,0,0,1,1,2,1,0,1
1781,1,40,8,0,40,36,0,0,0,1,0,3,2,0,1
1782,0,90,14,1,90,77,0,0,0,0,1,3,0,4,4
1783,0,122,21,4,120,102,0,0,0,1,1,2,8,1,5
1784,1,89,15,2,89,71,0,0,0,4,0,2,2,0,2
1785,0,75,11,2,75,66,0,0,0,0,1,1,2,0,1
1786,1,29,6,0,29,26,0,0,0,3,1,0,1,0,0
1787,0,90,17,1,90,74,0,0,0,0,0,1,5,0,5
1788,0,43,9,1,41,36,0,0,0,0,0,0,2,1,3
1789,1,46,8,3,46,40,0,0,0,0,0,1,2,0,2
1790,1,40,8,0,40,38,0,0,0,2,1,1,1,0,1
1791,0,102,17,5,102,97,0,0,0,2,0,3,3,1,2
1792,0,54,9,2,54,51,0,0,0,0,3,1,0,0,4
1793,1,39,7,1,39,36,0,0,0,1,0,4,0,0,0
1794,0,46,10,0,46,39,0,0,0,0,0,3,3,0,2
1795,1,73,13,2,73,63,0,0,0,3,0,3,2,1,2
1796,0,46,8,0,46,39,0,0,0,0,0,0,0,1,3
1797,1,58,10,1,58,55,0,0,0,4,1,3,0,0,0
1798,1,47,9,1,47,45,0,0,0,0,0,4,1,0,0
1799,1,52,8,1,52,48,0,0,0,3,1,0,0,0,0
1800,1,74,13,8,74,66,0,0,0,2,1,3,2,0,1
1801,1,47,8,0,47,41,0,0,0,3,1,3,0,0,0
1802,0,33,7,1,32,28,0,0,0,1,0,1,2,1,1
1803,0,87,12,2,87,82,0,0,0,2,0,2,3,2,2
1804,1,64,10,3,64,56,0,0,0,0,2,6,0,0,1
1805,1,54,9,1,54,52,0,0,0,3,2,3,0,0,0
