,user_id,category_code,percentage
60,1515915625363853004,construction,0.8888888888888888
61,1515915625363853004,auto,0.1111111111111111
62,1515915625364062846,computers,1.0
63,1515915625364257701,computers,1.0
64,1515915625365836405,auto,1.0
65,1515915625366169564,computers,1.0
66,1515915625366672718,computers,1.0
67,1515915625367150883,computers,1.0
68,1515915625367438020,construction,0.9767441860465116
69,1515915625367438020,computers,0.015503875968992248
70,1515915625367438020,stationery,0.007751937984496124
71,1515915625367766093,computers,1.0
72,1515915625367856459,computers,0.8333333333333334
73,1515915625367856459,stationery,0.16666666666666666
74,1515915625368479327,auto,1.0
75,1515915625368532072,stationery,1.0
76,1515915625368555929,electronics,1.0
77,1515915625369111629,stationery,1.0
78,1515915625369530324,computers,0.625
79,1515915625369530324,electronics,0.375
80,1515915625371158307,stationery,0.8
81,1515915625371158307,computers,0.2
82,1515915625373342675,computers,1.0
83,1515915625374385072,computers,1.0
84,1515915625376375077,electronics,1.0
85,1515915625376415127,computers,1.0
86,1515915625376944413,electronics,1.0
87,1515915625377197718,construction,1.0
88,1515915625378826284,computers,1.0
89,1515915625379210214,computers,0.7142857142857143
90,1515915625379210214,stationery,0.25
91,1515915625379210214,electronics,0.03571428571428571
92,1515915625381694485,auto,1.0
93,1515915625382330267,electronics,1.0
94,1515915625382978893,electronics,1.0
95,1515915625383237543,electronics,1.0
96,1515915625384365877,electronics,1.0
97,1515915625384849425,computers,1.0
98,1515915625385482819,furniture,0.6216216216216216
99,1515915625385482819,electronics,0.3783783783783784
100,1515915625385888878,stationery,1.0
101,1515915625386067291,appliances,1.0
102,1515915625386274272,appliances,1.0
103,1515915625387638560,stationery,1.0
104,1515915625387880220,auto,1.0
105,1515915625389080559,stationery,1.0
106,1515915625390107328,computers,0.9795918367346939
107,1515915625390107328,stationery,0.02040816326530612
108,1515915625390111516,construction,1.0
109,1515915625390920508,computers,1.0
110,1515915625392598666,appliances,1.0
111,1515915625392770077,computers,0.8
112,1515915625392770077,auto,0.2
113,1515915625393187053,electronics,1.0
114,1515915625393382317,computers,1.0
115,1515915625396274922,electronics,1.0
116,1515915625397409054,country_yard,1.0
117,1515915625397695683,construction,0.8888888888888888
118,1515915625397695683,electronics,0.1111111111111111
119,1515915625398298644,computers,1.0
120,1515915625398593785,computers,1.0
121,1515915625398710075,computers,0.9642857142857143
122,1515915625398710075,electronics,0.03571428571428571
123,1515915625398951287,computers,1.0
124,1515915625399147881,electronics,0.4
125,1515915625399147881,construction,0.3
126,1515915625399147881,kids,0.3
127,1515915625399542762,electronics,0.8888888888888888
128,1515915625399542762,construction,0.1111111111111111
129,1515915625400324256,computers,1.0
130,1515915625401124944,electronics,1.0
131,1515915625401378765,computers,1.0
132,1515915625401433187,computers,1.0
133,1515915625401563973,construction,1.0
134,1515915625402681761,auto,1.0
135,1515915625404197931,auto,1.0
136,1515915625405725185,computers,1.0
137,1515915625406201421,computers,1.0
138,1515915625408008700,computers,0.9230769230769231
139,1515915625408008700,construction,0.05128205128205128
140,1515915625408008700,auto,0.02564102564102564
141,1515915625408263671,construction,1.0
142,1515915625408839802,stationery,1.0
143,1515915625409829783,construction,1.0
144,1515915625409840920,electronics,1.0
145,1515915625409885754,stationery,1.0
146,1515915625410010194,computers,1.0
147,1515915625411059880,computers,1.0
148,1515915625413348759,stationery,1.0
149,1515915625415120467,electronics,1.0
150,1515915625415474736,computers,0.9759036144578314
151,1515915625415474736,electronics,0.024096385542168676
152,1515915625416060874,electronics,0.5555555555555556
153,1515915625416060874,auto,0.4444444444444444
154,1515915625418131580,computers,1.0
155,1515915625418801246,stationery,1.0
156,1515915625419069852,electronics,1.0
157,1515915625420475445,computers,1.0
158,1515915625420716242,construction,1.0
159,1515915625421610419,computers,1.0
160,1515915625422203509,computers,1.0
161,1515915625422637950,computers,1.0
162,1515915625422796282,appliances,1.0
163,1515915625423788629,electronics,1.0
164,1515915625423858244,electronics,0.5384615384615384
165,1515915625423858244,construction,0.46153846153846156
166,1515915625424957684,computers,1.0
167,1515915625425059411,computers,1.0
168,1515915625425784088,appliances,1.0
169,1515915625427007765,computers,0.7752808988764045
170,1515915625427007765,electronics,0.2247191011235955
171,1515915625427316298,computers,0.6666666666666666
172,1515915625427316298,auto,0.3333333333333333
173,1515915625427437146,computers,1.0
174,1515915625428531435,auto,1.0
175,1515915625429766984,computers,1.0
176,1515915625431723268,computers,1.0
177,1515915625431967358,computers,1.0
178,1515915625432648860,computers,1.0
179,1515915625432791963,stationery,1.0
180,1515915625433260957,electronics,1.0
181,1515915625433694719,computers,0.6666666666666666
182,1515915625433694719,electronics,0.3333333333333333
183,1515915625434021183,electronics,1.0
184,1515915625436518115,electronics,0.7777777777777778
185,1515915625436518115,computers,0.2222222222222222
186,1515915625436640924,electronics,1.0
187,1515915625438232064,computers,1.0
188,1515915625439118705,computers,1.0
