Date,qty_ordered
2020-12-27,2
2020-12-27,1
2020-12-27,2
2020-12-27,1
2020-12-28,2
2020-12-28,2
2020-12-28,2
2020-12-28,2
2020-12-28,2
2020-12-28,2
2020-12-29,2
2020-12-29,2
2020-12-30,2
2020-12-30,2
2021-01-01,2
2021-01-04,2
2021-01-04,2
2021-01-04,2
2021-01-08,2
2021-01-08,2
2021-01-10,2
2021-01-10,2
2021-01-10,2
2021-01-10,2
2021-01-11,2
2021-02-05,2
2021-02-06,2
2021-02-11,2
2021-03-08,2
2021-03-08,2
2021-03-18,2
2021-03-25,2
2021-03-31,2
2021-03-31,2
2021-04-01,2
2021-04-04,2
2021-04-08,2
2021-04-11,2
2021-04-15,1
2021-04-15,1
2021-04-16,2
2021-04-16,2
2021-04-16,2
2021-04-16,2
2021-04-17,2
2021-04-17,2
2021-04-17,2
2021-04-18,2
2021-04-18,2
2021-04-25,1
2021-04-25,1
2021-04-25,1
2021-04-25,1
2021-04-25,1
2021-04-25,1
2021-04-27,1
2021-04-27,1
2021-05-27,2
2021-06-06,1
2021-06-06,1
2021-06-06,1
2021-06-06,1
2021-06-11,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-11-12,2
2020-11-12,2
2020-11-12,2
2020-11-12,2
2020-11-12,2
2020-10-01,2
2020-10-08,2
2020-10-09,2
2020-10-12,2
2020-10-01,5
2020-10-01,5
2020-10-01,5
2020-10-01,5
2020-10-01,5
2020-12-07,2
2020-12-07,2
2020-12-07,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,2
2021-06-01,2
2021-06-10,2
2020-10-01,11
2020-10-01,8
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-14,2
2020-10-14,2
2020-10-14,2
2020-10-14,2
2020-12-20,2
2020-12-20,2
2020-12-20,3
2020-12-20,2
2020-12-20,2
2020-12-20,3
2020-10-01,3
2020-10-01,3
2020-10-01,3
2020-10-01,3
2020-10-01,3
2020-10-01,3
2020-10-08,2
2020-10-08,2
2020-10-08,2
2020-10-26,3
2020-10-26,2
2020-10-26,2
2020-11-23,2
2020-12-05,7
2020-12-14,2
2020-12-14,2
2020-12-14,2
2020-12-14,2
2020-12-14,2
2020-12-14,3
2020-12-20,2
2020-12-20,2
2020-12-20,2
2020-12-20,3
2020-12-20,2
2020-12-20,2
2020-12-20,3
2020-12-20,2
2020-12-20,3
2020-12-20,2
2020-10-01,2
2020-10-02,2
2020-10-09,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-10-01,2
2020-12-01,2
2020-12-01,2
2020-12-18,2
2020-12-18,2
2021-01-02,2
2021-05-06,2
2021-08-26,2
2021-08-29,2
2021-08-29,2
2021-08-29,2
2021-08-30,2
2021-09-03,2
2021-09-03,2
2021-09-08,2
2021-09-10,2
2021-09-10,2
2021-09-10,2
2021-09-10,2
2021-09-10,2
2021-09-15,2
2021-09-15,2
2021-09-15,2
2020-10-01,2
2020-10-01,2
2020-10-12,2
2020-10-12,2
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-10-30,2
2020-11-06,2
2020-11-06,2
2020-12-21,2
2020-12-21,3
2020-12-21,2
2020-12-21,2
2020-12-23,2
2020-12-23,2
2021-01-18,2
2021-01-18,2
